nuts1	nuts1name	nuts2	nuts2name	nuts3	nuts3name	county	countyname	male2011	female2011	total2011	ppocc2011	unocc2011	hs2011	vacant2011	pcvac20111	total_area	land_area	createdate
IE0	Ireland	IE01	Border,Midland and Western	IE011	Border	33	Donegal County	80523.0	80614.0	161137.0	58300.0	25618.0	83918.0	23996.0	28.6	4862.7206530955	4764.357840897	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE011	Border	34	Monaghan County	30441.0	30042.0	60483.0	21241.0	3815.0	25056.0	3398.0	13.6	1294.718927081	1273.4424226719	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE024	South-East (IE)	01	Carlow County	27431.0	27181.0	54612.0	19507.0	3658.0	23165.0	3202.0	13.8	896.6990219112	894.7725871159	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE021	Dublin	02	Dublin City	257303.0	270309.0	527612.0	209920.0	31758.0	241678.0	24638.0	10.2	117.6671275979	116.5812046988	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE021	Dublin	03	South Dublin	129544.0	135661.0	265205.0	90022.0	7276.0	97298.0	5249.0	5.4	223.536881618	223.0212682506	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE021	Dublin	04	Fingal	134488.0	139503.0	273991.0	93150.0	9643.0	102793.0	7204.0	7.0	458.0835412224	457.8316848854	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE021	Dublin	05	Dn Laoghaire-Rathdown	98567.0	107694.0	206261.0	76351.0	9545.0	85896.0	6616.0	7.7	126.6161858718	126.3802142537	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE022	Mid-East	06	Kildare County	104658.0	105654.0	210312.0	70777.0	8017.0	78794.0	6311.0	8.0	1694.8192278602	1693.2570348642	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE024	South-East (IE)	07	Kilkenny County	47788.0	47631.0	95419.0	33681.0	5324.0	39005.0	4624.0	11.9	2072.0050893012	2061.0291577386	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE012	Midland	08	Laois County	40587.0	39972.0	80559.0	27991.0	4673.0	32664.0	4087.0	12.5	1719.8756090947	1719.1618164569	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE012	Midland	09	Longford County	19649.0	19351.0	39000.0	14460.0	4363.0	18823.0	4075.0	21.6	1091.5509103018	1039.52693512	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE011	Border	10	Louth County	60763.0	62134.0	122897.0	44060.0	7126.0	51186.0	6232.0	12.2	827.012161854	823.5825201299	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE022	Mid-East	11	Meath County	91910.0	92225.0	184135.0	62085.0	7612.0	69697.0	6173.0	8.9	2343.0568580103	2331.9274334301	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE012	Midland	12	Offaly County	38430.0	38257.0	76687.0	26630.0	4120.0	30750.0	3620.0	11.8	2000.8927773208	1994.9793699343	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE012	Midland	13	Westmeath County	42783.0	43381.0	86164.0	30890.0	5769.0	36659.0	4921.0	13.4	1839.1053153461	1755.9791527891	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE024	South-East (IE)	14	Wexford County	71909.0	73411.0	145320.0	52580.0	15563.0	68143.0	14329.0	21.0	2370.8149215268	2353.2020566092	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE022	Mid-East	15	Wicklow County	67542.0	69098.0	136640.0	47711.0	6640.0	54351.0	5377.0	9.9	2025.8518051524	1999.5214163146	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE023	Mid-West	16	Clare County	58298.0	58898.0	117196.0	42820.0	12796.0	55616.0	11782.0	21.2	3450.0457856819	3159.2129832406	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE025	South-West (IE)	17	Cork City	58812.0	60418.0	119230.0	47588.0	8045.0	55633.0	6168.0	11.1	39.6064148967	38.5978680686	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE025	South-West (IE)	18	Cork County	198658.0	201144.0	399802.0	141237.0	30805.0	172042.0	27161.0	15.8	7464.6033947579	7402.8796828196	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE025	South-West (IE)	19	Kerry County	72629.0	72873.0	145502.0	53753.0	20994.0	74747.0	19719.0	26.4	4807.52217155	4678.8887150216	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE011	Border	32	Cavan County	37013.0	36170.0	73183.0	25844.0	7867.0	33711.0	7277.0	21.6	1932.0554660605	1855.888704778	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE023	Mid-West	20	Limerick City	27947.0	29159.0	57106.0	22589.0	4092.0	26681.0	3273.0	12.3	30.7745551234	28.3955909956	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE023	Mid-West	21	Limerick County	67868.0	66835.0	134703.0	47555.0	7920.0	55475.0	6841.0	12.3	2725.3466471903	2654.6565302835	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE023	Mid-West	22	North Tipperary	35340.0	34982.0	70322.0	25720.0	5070.0	30790.0	4527.0	14.7	2046.3939436253	1992.1950585083	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE024	South-East (IE)	23	South Tipperary	44244.0	44188.0	88432.0	32770.0	5414.0	38184.0	4817.0	12.6	2258.8705225974	2255.6947186204	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE024	South-East (IE)	24	Waterford City	22921.0	23811.0	46732.0	18344.0	3997.0	22341.0	3300.0	14.8	41.639885502	38.3458864001	27-03-2012
IE0	Ireland	IE02	Southern and Eastern	IE024	South-East (IE)	25	Waterford County	33543.0	33520.0	67063.0	24174.0	5849.0	30023.0	5297.0	17.6	1816.9249433403	1797.2077055127	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE013	West	26	Galway City	36514.0	39015.0	75529.0	28248.0	5407.0	33655.0	3755.0	11.2	50.7168626496	49.9975574819	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE013	West	27	Galway County	88244.0	86880.0	175124.0	61026.0	16496.0	77522.0	15066.0	19.4	6100.72498458	5796.0964695406	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE011	Border	28	Leitrim County	16144.0	15654.0	31798.0	12331.0	5797.0	18128.0	5526.0	30.5	1588.710828992	1502.5127221522	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE013	West	29	Mayo County	65420.0	65218.0	130638.0	48304.0	17488.0	65792.0	16230.0	24.7	5589.4437086736	5350.6200156087	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE013	West	30	Roscommon County	32353.0	31712.0	64065.0	23710.0	7875.0	31585.0	7332.0	23.2	2548.2343239892	2445.1464434293	27-03-2012
IE0	Ireland	IE01	Border,Midland and Western	IE011	Border	31	Sligo County	32435.0	32958.0	65393.0	24742.0	8302.0	33044.0	7328.0	22.2	1837.4842515706	1791.1752164335	27-03-2012
